text,frequency,avg_sentiment_tb,avg_sentiment_vs,%age_share
!,324,0.14462963988575073,0.1461148148148148,0.04521981856245638
#,1323,0.09124736977370347,0.20417989417989438,0.18464759246336357
%,25,0.09862626262626265,0.132636,0.0034891835310537334
&,98,0.05612561474806372,0.12771224489795924,0.013677599441730635
'',53,-0.010218004392532698,0.038081132075471716,0.007397069085833915
's,237,0.0700323991035169,0.0879902953586498,0.03307745987438939
(,60,0.02462699414782748,0.05346166666666668,0.00837404047452896
),69,0.09141103930959005,0.11801884057971014,0.009630146545708304
",",731,0.08700917213696614,0.14996060191518465,0.10202372644801116
-,25,0.0723502886002886,-0.013439999999999994,0.0034891835310537334
.,1423,0.10167860615621067,0.1892780744905134,0.1986043265875785
..,82,0.10632580706894733,0.25658536585365865,0.011444521981856245
...,479,0.09790866557763749,0.21112400835073047,0.06685275645498953
1,21,0.17445359204287778,0.3716904761904762,0.0029309141660851363
2,22,0.05750631313131314,-0.005718181818181814,0.0030704815073272856
:,865,0.03737621822755493,0.06177479768786122,0.12072575017445918
;,101,0.059904061834754906,0.12925742574257432,0.014096301465457083
?,333,0.05442411623835237,-0.048515015015015026,0.04647592463363573
@,524,0.08333057499580046,0.1759994274809158,0.07313328681088625
OK hand,42,0.4267800453514739,0.45453571428571415,0.0058618283321702725
``,47,-0.015148508898508896,0.06319999999999999,0.006559665038381019
abt,21,0.1513426999587714,-0.10672857142857144,0.0029309141660851363
also,80,0.09051304901695525,0.19136124999999998,0.011165387299371946
always,59,0.1504636100716609,0.39295762711864407,0.008234473133286811
amp,95,0.0522589048378522,0.1320452631578948,0.013258897418004187
anything,38,0.04473788638262322,-0.04292105263157895,0.0053035589672016745
appreciate,61,0.18825234192037466,0.644204918032787,0.00851360781577111
ask,24,0.1441005291005291,0.19945000000000002,0.003349616189811584
attention,42,0.06454064454064457,0.21706190476190476,0.0058618283321702725
away,30,0.0477298581048581,-0.05213999999999999,0.00418702023726448
back,21,0.11223356009070296,0.2340047619047619,0.0029309141660851363
bad,31,-0.35973508122701664,-0.3590290322580645,0.0043265875785066295
bcoz,22,0.01382882395382395,0.02108636363636364,0.0030704815073272856
beautiful,24,0.570339937426991,0.7688541666666667,0.003349616189811584
become,37,0.10818417443417444,0.1139945945945946,0.005163991625959525
best,24,0.6499960167147667,0.6641833333333332,0.003349616189811584
better,41,0.31338168268046324,0.43076829268292693,0.005722260990928122
big,63,0.06164479259717355,0.34472380952380977,0.008792742498255408
bill,42,0.08574585137085139,0.09656904761904762,0.0058618283321702725
bjp,56,0.03726568297773656,0.06364285714285714,0.007815771109560363
black,31,-0.07525487206938822,0.011277419354838704,0.0043265875785066295
bless,130,0.2471978021978022,0.7597292307692313,0.018143754361479414
blind,21,-0.030118102796674224,-0.09263333333333332,0.0029309141660851363
bollywood,67,0.1672884091447523,0.2748597014925373,0.009351011863224006
bring,45,0.12724885762385765,0.21059555555555562,0.00628053035589672
business,76,0.17816518687818034,0.004389473684210531,0.010607117934403349
ca,29,0.11537760611036471,0.12538275862068965,0.004047452896022331
call,66,0.02608133554156282,-0.0647848484848485,0.009211444521981856
care,54,0.07399985302763082,0.2203018518518519,0.007536636427076064
celebrities,65,0.09130694305694308,0.20269384615384614,0.009071877180739707
celebrity,33,0.1419678932178932,0.1704,0.004605722260990928
china,25,0.012688552188552183,-0.268112,0.0034891835310537334
clapping hands,40,0.14965603298611113,0.21093250000000005,0.005582693649685973
come,67,0.14841329629809105,0.18116268656716422,0.009351011863224006
comment,54,0.03303330928330929,-0.03867962962962962,0.007536636427076064
concern,46,0.08939570393374745,0.31625,0.00642009769713887
country,252,0.09255458484600355,0.06367698412698412,0.035170969993021634
dear,88,0.18557629870129866,0.6201022727272725,0.012281926029309142
