tweet_id,hashtags,full_text,user_name,user_location,tweet_favourites,tweet_sentiment_tb,tweet_sentiment_vs,user_verified,user_followers_count
3726,,@rihanna Because all Indians are sleeping yet,Juber Teli,"Jaipur, India",0,0.0,0.0,False,7
7727,,@rihanna You are great,बौद्ध आचार्य डॉ एस एन बौद्ध,"Delhi, India",0,0.8,0.6249,False,311
1050,,@rihanna I am with you,बौद्ध आचार्य डॉ एस एन बौद्ध,"Delhi, India",0,0.0,0.0,False,311
2449,GodiMediaStopMisleading,@rihanna atleast @rihanna know about human rights unlike this #GodiMediaStopMisleading people who just spread misleading news I am so ashamed of our media and gavernment this is what we are going to teach our younger generation that's how we treat to those who feed us #FarmersProstest,MR BUNNY,Youtube space,0,0.0,-0.6113,False,10
4671,,"@rihanna Rihanna with Pakistani minister Zulfiqar Bokhari

proof that she was paid for this tweet by ISI https://t.co/hrkpJFEFZ4",Nihal Ghodake - निहल घोडके,DHANKWADI PUNE,0,0.0,0.0,False,393
7114,,@rihanna So proud of you. U stand with farmers but the other hand all bollywood and Indian government against the farmers. God bless them all   All Punjabi community proud of u   Stay blessed dear 🙏🏻,gurpreet,"Epsom, South East",0,0.46875,0.9793,False,0
1829,,@rihanna ❤️🇮🇳,Jyoti Biswas,"Kolkata, India",0,0.0,0.0,False,3
7351,FramersProtest,@rihanna Thank you for supporting. #FramersProtest,Tractor_alle,"Cape Breton, Nova Scotia",0,0.25,0.6597,False,10
1394,,@rihanna ❤️,Rahoof,"Abu Dhabi, United Arab Emirates",0,0.0,0.6369,False,14
3578,IndiaAgainstPropaganda,"@rihanna Who are you??? We don't need any helps from outsiders. We take care of our farmers better than you
#IndiaAgainstPropaganda #IndiaWithModi #IndiaTogethar",ଶିବ ପ୍ରସାଦ ଦାସ🇮🇳🇮🇳शिब प्रसाद दास🇮🇳🇮🇳,"Barbil, India",0,0.5,0.6658,False,29
9558,,@rihanna Thanks for your support.,Xaryoon,Florida. Dubai. Mumbai ,0,0.2,0.6808,False,3329
4218,,@rihanna Thanks Rihanna for your support !,Passoinindia,India,0,0.25,0.7088,False,123
1720,FarmersProstest,@rihanna Thank u so much mam for ur support #FarmersProstest,Vishal Sharma,"नई दिल्ली, भारत",0,0.2,0.6369,False,5
8001,StandWithFarmers,"@rihanna Thank you
#StandWithFarmers",mallar ghosh,"Kolkata, India",0,0.0,0.3612,False,17
7782,,@rihanna Thanks for supporting for farmers... God will give you more happiness success and good health,bal sukhjinder,"Dubai, United Arab Emirates",0,0.44166666666666665,0.9563,False,1
7541,,@rihanna Thanks for supporting to farmers.,Virender Khehra,Kishanpura Kalan,0,0.225,0.7003,False,21
1195,,@rihanna Good,Mohammad Jonayed Khan,Bangladesh,0,0.7,0.4404,False,0
2186,,@rihanna That’s why you’re going down. Do your work . ए तु मत कर रे तु मत कर,Nikhil prakash awasthi🇮🇳,"Uttar Pradesh, India",0,-0.15555555555555559,0.0,False,169
4635,,@rihanna Becoz we are scared of our prime minister.,Feroz Sulta,"कोलकाता, भारत",0,0.0,-0.4404,False,2
3360,,@rihanna They dont have guts to talk about them.They are just an puppets..,Mohammad Imam,"Lucknow, India",0,0.0,0.0,False,4
2063,,@rihanna We will surely talk about this but you keep your ass out of this matter. Work hard to get money and avoid paid promotions. 😊,ᖇohit Sharma,India,0,0.10416666666666666,0.2471,False,20
6343,FarmersProtest,"@rihanna Thanku🤗🤗
#FarmersProtest",Mandeep Kaur,"Chandigarh, India",0,0.0,0.0,False,7
9843,,"@rihanna We know your influenced by khalistani friend. Pls keep yourself engage and limited to singing.  This is about India,  which you will not understand with limited information.  Jai hind Jai Bharat",Muks,"New Delhi, India",0,-0.07142857142857142,0.6874,False,1
3364,,"@rihanna Rihanna is such a foolish girl. It's good that she chose music bcoz academically she is pathetically poor to read the complete truth nd just go by cover of the communist book. Anyways m not a big fan of her music either...Do it shabby.
Sing but don't talk bcoz that need knowledge",Boycott-MadeInChina,usa,0,0.07999999999999999,-0.3359,False,71
6438,,@rihanna I Boycott Bollywood Celebrities &amp; Indian Cricket Team..,SanJay Kumar 🎭,India,0,0.0,-0.3182,False,253
9320,,@rihanna Thank you so much @rihanna,SanJay Kumar 🎭,India,0,0.2,0.3612,False,253
3694,,@rihanna thank you for raising common people voice.. m glad ur not like indian celebrities who don't have the guts to speak the truth..hats off to your guts,sandeep singh,"North Bay, Ontario",0,0.1,0.5252,False,1
4052,,@rihanna i support farmers and i love india and against those who r trying to defame this protest by adding khalistan into that..m against modi government,sandeep singh,"North Bay, Ontario",0,0.5,0.6858,False,1
4681,,@rihanna https://t.co/NUkaJELjwz,jatinderpal warar,"Fazilka, India",0,0.0,0.0,False,32
7587,,@rihanna https://t.co/3RTfACPwT4,jatinderpal warar,"Fazilka, India",0,0.0,0.0,False,32
2838,,@rihanna https://t.co/gzb7fM5xYo,jatinderpal warar,"Fazilka, India",0,0.0,0.0,False,32
